season_x,round,pick,team,pfr_player_id,pfr_player_name,position,college,age,to,allpro,probowls,seasons_started,games,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs
2001,4,124,TEN,McCaJu00,Justin McCareins,WR,Northern Illinois,22,2008,0,0,5,114,264,296,4038,17,3,2,826,239,195
2001,4,131,MIN,JameCe00,Cedric James,WR,TCU,22,2002,0,0,0,5,1,2,29,0,0,0,0,0,1
2001,5,136,ATL,SuthVi00,Vinny Sutherland,WR,Purdue,23,2002,0,0,0,16,2,2,13,0,0,0,0,0,1
2001,5,140,SEA,BannAl00,Alex Bannister,WR,East. Kentucky,22,2006,0,1,0,59,10,14,129,1,0,0,0,0,6
2001,5,148,DET,AndeSc00,Scotty Anderson,WR,Grambling St.,21,2003,0,0,0,34,54,107,858,4,1,0,0,0,39
2001,5,153,NOR,,Onomo Ojo,WR,UC Davis,,,0,0,0,,,,,,,,,,
2001,5,154,WAS,McCaDa00,Darnerien McCants,WR,Delaware St.,24,2005,0,0,0,41,58,78,774,8,1,1,0,0,46
2001,5,159,TEN,BerlEd00,Eddie Berlin,WR,Northern Iowa,23,2005,0,0,0,62,27,33,384,2,0,0,0,0,17
2001,5,162,NYG,CartJo01,Jonathan Carter,WR,Troy,22,2004,0,0,0,25,15,18,273,2,0,0,0,0,11
2001,6,166,ARI,,Bobby Newcombe,WR,Nebraska,,,0,0,0,,,,,,,,,,
2001,6,169,SFO,WilsCe00,Cedrick Wilson,WR,Tennessee,22,2007,0,0,2,100,301,369,4016,21,5,1,2404,680,205
2001,6,190,DEN,KaspKe00,Kevin Kasper,WR,Iowa,23,2006,0,0,0,39,24,37,287,3,0,0,0,0,17
2001,6,197,STL,,Francis St. Paul,WR,Northern Arizona,,,0,0,0,,,,,,,,,,
2001,7,204,CIN,HousTJ00,T.J. Houshmandzadeh,WR,Oregon St.,23,2011,0,1,6,146,635,777,7328,45,6,3,4369,1541,402
2001,7,208,CHI,,John Capel,WR,Florida,,,0,0,0,,,,,,,,,,
2001,7,214,BUF,GermRe00,Reggie Germany,WR,Ohio St.,23,2001,0,0,0,16,12,21,203,0,0,0,0,0,8
2001,7,218,PIT,TaylCh04,Chris Taylor,WR,Texas A&M,22,,0,0,0,,3,3,40,0,0,0,6,34,1
2001,7,229,OAK,RambKe00,Ken-Yon Rambo,WR,Ohio St.,22,2002,0,0,0,29,17,39,239,0,0,0,0,0,11
2001,7,235,JAX,,Richmond Flowers III,WR,Chattanooga,,,0,0,0,,,,,,,,,,
2001,7,236,ATL,McCoQu00,Quentin McCord,WR,Kentucky,23,2003,0,0,0,25,25,37,458,1,0,0,0,0,20
2001,7,245,CLE,KingAn00,Andre King,WR,Miami (FL),27,2004,0,0,0,42,31,38,343,0,1,1,0,0,14
2002,1,13,NOR,StalDo00,Donte' Stallworth,WR,Tennessee,21,2012,0,0,4,115,335,388,5091,37,1,1,1784,889,220
2002,1,19,DEN,LeliAs00,Ashley Lelie,WR,Hawaii,22,2008,0,0,4,107,227,245,3901,16,1,0,659,83,159
2002,1,20,GNB,WalkJa00,Javon Walker,WR,Florida St.,23,2009,0,1,3,83,280,311,4295,31,4,4,1089,478,194
2002,2,33,HOU,GaffJa00,Jabar Gaffney,WR,Florida,21,2012,0,0,6,158,472,645,5972,27,2,1,4813,992,318
2002,2,36,BUF,ReedJo01,Josh Reed,WR,LSU,22,2009,0,0,3,115,311,351,3575,10,2,2,1439,609,192
2002,2,46,NYG,CartTi00,Tim Carter,WR,Auburn,22,2009,0,0,0,71,83,89,1102,4,2,1,361,69,53
2002,2,47,CLE,DaviAn01,Andre' Davis,WR,Virginia Tech,23,2009,0,0,1,104,,,,,,,,,
2002,2,48,SDG,CaldRe00,Reche Caldwell,WR,Florida,23,2007,0,0,1,71,169,190,2034,12,5,4,720,364,99
2002,2,62,PIT,RandAn00,Antwaan Randle El,WR,Indiana,23,2010,0,0,4,143,407,476,4926,17,9,5,2293,779,263
2002,2,63,DAL,BryaAn00,Antonio Bryant,WR,Pittsburgh,21,2009,0,0,6,106,374,470,5703,30,6,5,2561,683,257
2002,2,65,NWE,BranDe00,Deion Branch,WR,Louisville,23,2012,0,0,7,140,582,737,7592,43,1,0,4588,1484,378
2002,3,86,TAM,,Marquis Walker,WR,Michigan,,,0,0,0,,,,,,,,,,
2002,3,87,WAS,RussCl00,Cliff Russell,WR,Utah,23,2008,0,0,0,23,5,5,45,0,0,0,14,0,1
2002,3,95,STL,,Eric Crouch,WR,Nebraska,,,0,0,0,,,,,,,,,,
2002,4,123,BAL,JohnRo03,Ron Johnson,WR,Minnesota,22,2003,0,0,0,22,11,27,126,1,0,0,0,0,8
2002,5,142,SDG,,Terry Charles,WR,Portland St.,,,0,0,0,,,,,,,,,,
2002,5,144,DEN,HaygHe20,Herb Haygood,WR,Michigan St.,24,2002,0,0,0,4,0,1,0,0,0,0,0,0,0
2002,5,149,ARI,McAdJa00,Jason McAddley,WR,Alabama,23,2005,0,0,1,34,38,82,578,1,0,0,0,0,26
2002,5,151,TEN,SchiJa20,Jake Schifino,WR,Akron,22,2004,0,0,0,14,,,,,,,,,
2002,5,162,PHI,,Freddie Milons,WR,Alabama,,,0,0,0,,,,,,,,,,
2002,5,170,MIA,SimmSa20,Sam Simmons,WR,Northwestern,22,2003,0,0,0,11,,,,,,,,,
2002,6,184,ATL,HillKa20,Kahlil Hill,WR,Iowa,23,2002,0,0,0,1,,,,,,,,,
2002,6,202,PIT,MaysLe00,Lee Mays,WR,Texas-El Paso,23,2006,0,0,0,49,13,15,173,0,0,0,0,0,9
2002,6,203,CHI,ElliJa00,Jamin Elliott,WR,Delaware,22,2006,0,0,0,3,,,,,,,,,
2002,6,206,BAL,HuntJa00,Javin Hunter,WR,Notre Dame,22,2002,0,0,0,12,5,11,35,0,1,0,0,0,0
2002,6,208,DAL,,DeVeren Johnson,WR,Sacred Heart,,,0,0,0,,,,,,,,,,
2002,7,217,ATL,,Michael Coleman,WR,Widener,,,0,0,0,,,,,,,,,,
2002,7,222,JAX,NewsKe00,Kendall Newson,WR,Middle Tenn. St.,22,2003,0,0,0,6,2,2,55,0,0,0,0,0,2
2002,7,225,TEN,HillDa20,Darrell Hill,WR,Northern Illinois,23,2004,0,0,0,33,,,,,,,,,
2002,7,226,NYG,JoneDa02,Daryl Jones,WR,Miami (FL),23,2004,0,0,0,15,8,24,90,0,0,0,0,0,3
2002,7,235,OAK,CurrRo01,Ronald Curry,WR,North Carolina,23,2008,0,0,2,76,193,193,2347,13,1,0,1149,437,122
2002,7,249,BUF,,Rodney Wright,WR,Fresno St.,,,0,0,0,,,,,,,,,,
2002,7,253,NWE,GiveDa00,David Givens,WR,Notre Dame,22,2006,0,0,2,58,201,207,2640,19,2,0,71,33,133
2002,7,254,TAM,,Aaron Lockett,WR,Kansas St.,,,0,0,0,,,,,,,,,,
2003,1,2,DET,RogeCh01,Charles Rogers,WR,Michigan St.,22,2005,0,0,0,15,36,36,440,4,0,0,0,0,24
2003,1,3,HOU,JohnAn02,Andre Johnson,WR,Miami (FL),22,2016,2,7,12,193,1087,1478,14543,71,9,6,13353,3766,714
2003,1,17,ARI,JohnBr02,Bryant Johnson,WR,Penn St.,22,2011,0,0,4,139,314,403,3944,16,2,1,3268,638,203
2003,2,44,WAS,JacoTa00,Taylor Jacobs,WR,Florida,22,2007,0,0,0,56,40,40,403,2,0,0,61,8,19
2003,2,45,NWE,JohnBe00,Bethel Johnson,WR,Texas A&M,24,2006,0,0,0,50,43,43,676,5,1,1,99,57,29
2003,2,54,ARI,BoldAn00,Anquan Boldin,WR,Florida St.,22,2016,0,3,14,202,1147,1534,14837,91,16,12,11628,4193,738
2003,2,60,TEN,CaliTy00,Tyrone Calico,WR,Middle Tenn. St.,22,2005,0,0,0,27,44,44,543,4,1,1,0,0,29
2003,3,65,CIN,WashKe00,Kelley Washington,WR,Tennessee,24,2010,0,0,0,91,121,137,1511,12,0,0,657,264,88
2003,3,71,MIN,BurlNa00,Nate Burleson,WR,Nevada,22,2013,0,0,9,135,481,622,5917,41,8,7,4032,1598,298
2003,3,74,STL,CurtKe00,Kevin Curtis,WR,Utah St.,25,2010,0,0,3,81,277,288,3757,21,3,2,1817,643,173
2003,3,95,PHI,McMuBi00,Billy McMullen,WR,Virginia,23,2008,0,0,0,49,52,52,725,3,2,2,314,117,32
2003,4,106,STL,McDoSh00,Shaun McDonald,WR,Arizona St.,22,2009,0,0,1,88,225,225,2565,11,6,3,1067,348,129
2003,4,124,SFO,LloyBr00,Brandon Lloyd,WR,Illinois,22,2014,0,1,6,142,411,663,6091,37,3,2,8240,717,292
2003,4,127,BUF,AikeSa00,Sam Aiken,WR,North Carolina,22,2010,0,0,0,95,49,75,689,2,0,0,704,268,29
2003,5,139,CHI,WadeBo00,Bobby Wade,WR,Arizona,22,2009,0,0,3,102,248,286,2889,9,6,3,1870,683,141
2003,5,143,CHI,GageJu00,Justin Gage,WR,Missouri,22,2010,0,0,3,100,215,277,3140,16,3,2,2740,567,164
2003,5,158,DEN,MadiAd00,Adrian Madise,WR,TCU,23,2003,0,0,0,11,2,2,10,0,0,0,0,0,0
2003,5,159,ATL,,Jon Olinger,WR,Cincinnati,,,0,0,0,,,,,,,,,,
2003,5,167,OAK,GabrDo00,Doug Gabriel,WR,Central Florida,23,2006,0,0,1,57,101,101,1550,8,1,1,260,168,76
2003,5,169,MIA,,J.R. Tolver,WR,San Diego St.,,,0,0,0,,,,,,,,,,
2003,6,175,DET,KircDa00,David Kircus,WR,Grand Valley St.,23,2006,0,0,0,28,15,15,308,1,0,0,131,56,14
2003,6,186,DAL,SmitZu00,Zuriel Smith,WR,Hampton,23,2003,0,0,0,9,3,3,46,0,0,0,0,0,1
2003,6,196,ATL,DunbLa20,LaTarence Dunbar,WR,TCU,23,2003,0,0,0,5,,,,,,,,,
2003,6,197,SFO,BattAr00,Arnaz Battle,WR,Notre Dame,23,2011,0,0,2,113,179,182,2147,11,4,2,1139,569,108
2003,6,199,NYG,PondWi00,Willie Ponder,WR,SE Missouri St.,23,2006,0,0,0,38,8,8,38,0,0,0,0,0,1
2003,6,203,NOR,,Kareem Kelly,WR,USC,,,0,0,0,,,,,,,,,,
2003,6,211,NYG,TyreDa00,David Tyree,WR,Syracuse,23,2009,0,1,0,83,58,58,697,5,1,1,213,66,31
2003,7,221,MIN,HowrKe00,Keenan Howry,WR,Oregon,22,2005,0,0,0,23,3,3,18,0,0,0,0,0,1
2003,7,224,SEA,WallTa00,Taco Wallace,WR,Kansas St.,22,2005,0,0,0,4,,,,,,,,,
2003,7,226,CAR,YounWa00,Walter Young,WR,Illinois,23,2006,0,0,0,9,1,1,17,0,0,0,12,5,1
2003,7,231,NOR,GardTa00,Talman Gardner,WR,Florida St.,23,2004,0,0,0,21,4,4,52,0,0,0,0,0,3
2003,7,253,GNB,,DeAndrew Rubin,WR,South Florida,,,0,0,0,,,,,,,,,,
2003,7,255,NYG,WaltKe00,Kevin Walter,WR,East. Michigan,22,2012,0,0,6,152,370,471,4529,25,2,0,4332,1146,239
2003,7,256,GNB,FordCa00,Carl Ford,WR,Toledo,22,2005,0,0,0,10,,,,,,,,,
2003,7,260,DET,,Travis Anglin,WR,Memphis,,,0,0,0,,,,,,,,,,
2003,7,262,OAK,,Ryan Hoag,WR,Gustavus Adolphus,,,0,0,0,,,,,,,,,,
2004,1,3,ARI,FitzLa00,Larry Fitzgerald,WR,Pittsburgh,21,2020,1,11,17,263,1487,2120,18466,131,14,11,19565,5335,943
2004,1,7,DET,WillRo04,Roy Williams,WR,Texas,22,2011,0,1,7,115,397,502,5772,44,9,7,4354,1307,277
2004,1,9,JAX,WillRe00,Reggie Williams,WR,Washington,21,2008,0,0,3,79,198,198,2436,18,6,4,1075,592,120
2004,1,13,BUF,EvanLe00,Lee Evans,WR,Wisconsin,23,2011,0,0,7,118,386,508,6076,43,5,3,5422,1002,264
2004,1,15,TAM,ClayMi00,Michael Clayton,WR,LSU,21,2011,0,0,5,95,226,261,2994,10,4,1,1388,482,145
2004,1,29,ATL,JenkMi00,Michael Jenkins,WR,Ohio St.,22,2012,0,0,6,130,371,496,4667,26,3,3,4989,1083,236
2004,1,31,SFO,WoodRa00,Rashaun Woods,WR,Oklahoma St.,23,2004,0,0,0,14,7,7,160,1,0,0,0,0,6
2004,2,50,NOR,HendDe00,Devery Henderson,WR,LSU,22,2012,0,0,6,124,276,384,4841,24,3,0,5200,1365,193
2004,2,54,DEN,WattDa00,Darius Watts,WR,Marshall,22,2005,0,0,0,22,34,34,415,1,1,0,0,0,22
2004,2,62,CAR,ColbKe00,Keary Colbert,WR,USC,22,2011,0,0,3,75,133,136,1669,8,4,2,425,196,79
2004,3,77,SFO,HamiDe20,Derrick Hamilton,WR,Clemson,22,2004,0,0,0,2,,,,,,,,,
2004,3,78,CHI,BerrBe00,Bernard Berrian,WR,Fresno St.,23,2011,0,0,5,109,320,405,4585,26,4,3,4194,1221,204
2004,3,82,BAL,DarlDe00,Devard Darling,WR,Washington St.,22,2008,0,0,1,46,37,37,578,4,1,0,402,171,24
2004,4,99,OAK,FranCa20,Carlos Francis,WR,Texas Tech,23,2004,0,0,0,5,,,,,,,,,
2004,4,105,KAN,ParkSa00,Samie Parker,WR,Oregon,23,2007,0,0,2,47,110,110,1524,7,2,2,619,229,83
2004,4,108,NYJ,CotcJe00,Jerricho Cotchery,WR,North Carolina St.,22,2015,0,0,6,175,568,772,7188,37,3,2,7149,2407,377
2004,4,120,JAX,WilfEr00,Ernest Wilford,WR,Virginia Tech,25,2010,0,0,4,87,164,175,2258,16,1,1,1085,279,124
2004,5,134,OAK,MoraJo00,Johnnie Morant,WR,Syracuse,22,2006,0,0,0,15,8,8,90,0,2,2,32,38,4
2004,5,149,CIN,MannMa00,Maurice Mann,WR,Nevada,21,2006,0,0,0,1,,,,,,,,,
2004,5,157,SEA,HackD.00,D.J. Hackett,WR,Colorado,23,2008,0,0,0,42,128,128,1699,10,1,1,837,462,78
2004,5,163,CAR,CartDr00,Drew Carter,WR,Ohio St.,23,2007,0,0,0,33,75,75,1108,9,0,0,688,186,50
2004,5,164,NWE,SamxP.20,P.K. Sam,WR,Florida St.,20,2004,0,0,0,2,,,,,,,,,
