season,round,pick,team,pfr_player_id,pfr_player_name,position,college,allpro,probowls,seasons_started,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions
2002,2,51,DEN,PortCl00,Clinton Portis,RB,Miami (FL),0,2,7,113,2300,10137,76,27,19,502,1,255,277,2062,5,0,0,-97,1020,92,1
2002,2,54,SEA,MorrMa00,Maurice Morris,RB,Oregon,0,0,1,145,911,3772,13,8,3,187,0,154,181,1196,5,1,1,146,888,52,1
2002,2,56,WAS,BettLa00,Ladell Betts,RB,Iowa,0,0,1,111,837,3371,15,10,7,173,0,194,210,1697,3,2,1,-17,1182,74,0
2002,3,84,STL,GordLa00,Lamar Gordon,RB,North Dakota St.,0,0,0,41,226,774,3,6,3,44,0,62,70,490,2,1,1,0,0,18,0
2002,3,91,PHI,WestBr00,Brian Westbrook,RB,Villanova,1,2,7,121,1515,6911,44,4,2,345,0,476,505,4282,33,6,6,206,2176,185,1
2002,4,99,HOU,WellJo00,Jonathan Wells,RB,Ohio St.,0,0,1,60,374,1167,10,4,2,58,1,44,47,323,2,0,0,0,0,11,0
2002,4,119,TAM,StepTr01,Travis Stephens,RB,Tennessee,0,0,0,1,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0
2002,4,135,GNB,DaveNa00,Najeh Davenport,RB,Miami (FL),0,0,0,73,431,1921,16,10,2,109,0,56,60,561,3,0,0,131,323,23,0
2002,5,145,CAR,JohnKy00,Kyle Johnson,RB,Syracuse,0,0,2,45,9,39,1,0,0,4,0,33,33,323,8,0,0,12,25,19,0
2002,5,166,PIT,HaynVe00,Verron Haynes,RB,Georgia,0,0,0,68,186,830,3,4,3,47,0,66,71,487,2,1,1,12,115,24,0
2002,6,185,ARI,ScobJo00,Josh Scobey,RB,Kansas St.,0,0,0,62,27,89,0,0,0,7,0,19,19,200,0,0,0,0,0,8,0
2002,6,197,OAK,NedxLa00,Larry Ned,RB,San Diego St.,0,0,0,19,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,1,0
2002,6,199,CHI,PeteAd00,Adrian Peterson,RB,Georgia Southern,0,0,0,106,3664,16625,134,46,26,792,1,390,485,3196,6,11,6,172,3009,132,0
2002,6,204,IND,AlleBr20,Brian Allen,RB,Stanford,0,0,0,4,,,,,,,,,,,,,,,,,
2002,6,207,BAL,TaylCh01,Chester Taylor,RB,Toledo,0,0,1,151,1196,4877,28,14,8,228,1,312,356,2425,6,4,3,153,1559,116,0
2002,7,214,DET,,Luke Staley,RB,BYU,0,0,0,,,,,,,,,,,,,,,,,,
2002,7,237,NWE,,Antwoine Womack,RB,Virginia,0,0,0,,,,,,,,,,,,,,,,,,
2002,7,241,MIA,HenrLe20,Leonard Henry,RB,East Carolina,0,0,0,6,45,134,0,1,1,5,0,3,3,12,0,0,0,0,0,0,0
2002,7,243,STL,MassCh00,Chris Massey,RB,Marshall,0,0,0,141,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2002,7,251,BUF,,Jarrett Ferguson,RB,Virginia Tech,0,0,0,,,,,,,,,,,,,,,,,,
2003,1,23,BUF,McGaWi00,Willis McGahee,RB,Miami (FL),0,2,7,142,2206,8882,70,28,22,461,1,220,251,1409,5,4,2,-129,1218,62,1
2003,1,27,KAN,JohnLa00,Larry Johnson,RB,Penn St.,1,2,4,85,1440,6236,55,15,8,325,0,159,165,1402,6,0,0,-70,841,64,0
2003,3,77,BAL,SmitMu00,Musa Smith,RB,Georgia,0,0,0,49,132,496,4,3,1,27,0,54,54,363,0,0,0,27,300,15,0
2003,3,93,TEN,BrowCh03,Chris Brown,RB,Colorado,0,0,2,68,743,3135,21,14,9,143,0,91,96,743,2,1,1,41,195,33,0
2003,4,99,DET,PinnAr00,Artose Pinner,RB,Kentucky,0,0,0,47,249,860,8,1,1,47,0,39,39,308,0,0,0,4,11,10,0
